,ticker,tradeDate,openIndex,highestIndex,lowestIndex,closeIndex,turnoverVol,turnoverValue
0,HSCEI,2017-12-20,11517.2,11575.11,11472.15,11505.88,,15837295433
1,HSCEI,2017-12-21,11448.66,11627.14,11426.2,11596.94,,17766201106
2,HSCEI,2017-12-22,11641.93,11667.19,11593.56,11653.08,,13558339908
3,HSCEI,2017-12-27,11698.48,11732.3,11583.08,11617.75,,20561488059
4,HSCEI,2017-12-28,11648.68,11686.8,11601.82,11683.99,,13920295106
5,HSCEI,2017-12-29,11689.42,11745.64,11669.04,11709.3,,14331897454
6,HSCEI,2018-01-02,11779.44,12077.63,11779.44,12068.99,,28975632352
7,HSCEI,2018-01-03,12101.31,12171.77,12044.25,12088.99,,28219632855
8,HSCEI,2018-01-04,12143.45,12283.41,12105.84,12203.55,,30856598022
9,HSCEI,2018-01-05,12266.92,12288.15,12143.42,12211.63,,26565674705
10,HSCEI,2018-01-08,12236.52,12276.6,12153.66,12235.19,,27018163382
11,HSCEI,2018-01-09,12253.56,12290.75,12188.15,12255.68,,24060992442
12,HSCEI,2018-01-10,12251.37,12390.99,12195.39,12289.17,,28195896860
13,HSCEI,2018-01-11,12300.18,12316.38,12227.62,12295.52,,20615084396
14,HSCEI,2018-01-12,12381.14,12488.43,12373.68,12468.93,,26975042491
15,HSCEI,2018-01-15,12575.15,12652.08,12404.45,12470.42,,34755955803
16,HSCEI,2018-01-16,12511.57,12793.16,12511.57,12787.28,,34481066508
17,HSCEI,2018-01-17,12742.81,12882.1,12686.01,12868.78,,41590133351
18,HSCEI,2018-01-18,12994.32,13120.69,12907.4,13094.92,,49296568574
19,HSCEI,2018-01-19,13125.5,13187.33,13075.37,13179.52,,36955452941
20,HSCEI,2018-01-22,13169.93,13236.46,13043.12,13204.58,,36981163632
21,HSI,2017-12-20,29199.29,29326.52,29159.28,29234.09,,29530378130
22,HSI,2017-12-21,29209.64,29431.81,29145.13,29367.06,,31584989976
23,HSI,2017-12-22,29505.05,29578.01,29413.86,29578.01,,28268861819
24,HSI,2017-12-27,29632.97,29693.82,29516.51,29597.66,,34523584067
25,HSI,2017-12-28,29684.79,29873.1,29661.06,29863.71,,27421670302
26,HSI,2017-12-29,29914.05,29997.96,29849.31,29919.15,,30181009765
27,HSI,2018-01-02,30028.29,30515.31,30028.29,30515.31,,50647912227
28,HSI,2018-01-03,30658.73,30724.32,30456.76,30560.95,,47549362641
29,HSI,2018-01-04,30691.71,30796.93,30560.43,30736.48,,54123722881
30,HSI,2018-01-05,30893.86,30911.01,30638.53,30814.64,,46486821368
31,HSI,2018-01-08,30895.09,30929.15,30732.54,30899.53,,44955166442
32,HSI,2018-01-09,30933.51,31056.7,30852.43,31011.41,,51588326149
33,HSI,2018-01-10,31009.24,31267.57,30928.58,31073.72,,52940782350
34,HSI,2018-01-11,31066.21,31133.18,30950.07,31120.39,,47458391821
35,HSI,2018-01-12,31298.05,31412.54,31198.36,31412.54,,47968599224
36,HSI,2018-01-15,31702.56,31733.18,31265.25,31338.87,,60889054910
37,HSI,2018-01-16,31423.62,31904.75,31423.62,31904.75,,58020398588
38,HSI,2018-01-17,31825.52,31983.41,31642.27,31983.41,,75497424778
39,HSI,2018-01-18,32148.45,32233.81,31869.7,32121.94,,71293798978
40,HSI,2018-01-19,32142.16,32254.89,31986.0,32254.89,,56737316121
41,HSI,2018-01-22,32276.96,32417.23,32046.84,32393.41,,61454786672
